CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,VALOR_VENTA,COMISION,CATEGORIA
Andrés Díaz,Aceite 1L,9.08,10,Neiva,María V.,2025-03-09,Cerrado,90.8,4.54,Alimentos
Isabella Ortiz,Atún 170g,2.27,3,Manizales,Diego S.,2025-05-31,Cerrado,6.81,0.34,Congelados
Cecilia Torres,Salsa de tomate 400g,1.81,5,Pereira,Santiago Q.,2025-04-25,Cerrado,9.05,0.45,Snacks
Héctor Suarez,Arroz 1kg,3.36,12,Villavicencio,Luis P.,2025-07-15,Cerrado,40.32,2.02,Snacks
Felipe Rojas,Yogur 120g,0.95,4,Manizales,Natalia M.,2024-12-13,Pendiente,3.8,0.19,Snacks
Felipe Rojas,Salsa de tomate 400g,1.53,4,Ibagué,Juan L.,2024-10-10,Cerrado,6.12,0.31,Abarrotes
Patricia Morales,Detergente 1kg,6.25,13,Villavicencio,Daniela F.,2025-04-14,Cerrado,81.25,4.06,Panadería
María Rodríguez,Arroz 1kg,4.7,4,Cúcuta,Juan L.,2024-12-07,Cerrado,18.8,0.94,Congelados
Diego Ramírez,Aceite 1L,8.93,11,Villavicencio,Luis P.,2025-08-23,Cerrado,98.23,4.91,Alimentos
María Rodríguez,Arroz 1kg,4.03,1,Cartagena,Juan L.,2025-02-25,Cerrado,4.03,0.2,Limpieza
Felipe Rojas,Galletas 200g,1.97,5,Villavicencio,Luis P.,2025-03-27,Cerrado,9.85,0.49,Panadería
Cecilia Torres,Café 250g,6.47,1,Sincelejo,Luis P.,2025-06-23,Cerrado,6.47,0.32,Lácteos
Ana García,Mantequilla 200g,3.48,1,Bucaramanga,Camila R.,2024-10-14,Cerrado,3.48,0.17,Bebidas
Ana García,Huevos 12u,2.75,5,Manizales,María V.,2025-09-04,Cerrado,13.75,0.69,Congelados
Héctor Suarez,Huevos 12u,2.46,3,Pereira,Andrea C.,2025-07-13,Cerrado,7.38,0.37,Alimentos
Gabriel Navarro,Detergente 1kg,5.92,5,Neiva,Juan L.,2025-06-06,Pendiente,29.6,1.48,Lácteos
Sofía López,Tomate enlatado 400g,1.48,15,Barranquilla,Daniela F.,2025-03-05,Cerrado,22.2,1.11,Abarrotes
Héctor Suarez,Salsa de tomate 400g,1.79,2,Villavicencio,Carlos T.,2025-08-26,Pendiente,3.58,0.18,Alimentos
Ricardo Castro,Cereal 300g,3.47,5,Montería,Daniela F.,2025-01-20,Pendiente,17.35,0.87,Limpieza
Gabriel Navarro,Aceite 1L,6.43,1,Ibagué,Luis P.,2025-08-19,Cerrado,6.43,0.32,Carnes
Sofía López,Pasta 500g,1.94,4,Pereira,Daniela F.,2024-10-30,Cerrado,7.76,0.39,Abarrotes
Héctor Suarez,Harina 1kg,3.83,1,Ibagué,Diego S.,2025-02-13,Cerrado,3.83,0.19,Alimentos
Sofía López,Mantequilla 200g,4.28,13,Cali,Andrea C.,2024-12-29,Cerrado,55.64,2.78,Congelados
Diego Ramírez,Salsa de tomate 400g,2.07,1,Cartagena,Camila R.,2025-04-19,Cerrado,2.07,0.1,Lácteos
Jorge Martínez,Galletas 200g,1.83,12,Pereira,Andrea C.,2025-03-22,Pendiente,21.96,1.1,Limpieza
Óscar Herrera,Arroz 1kg,4.41,39,Santa Marta,Diego S.,2024-11-29,Cerrado,171.99,8.6,Panadería
Cecilia Torres,Salsa de tomate 400g,1.85,3,Pereira,Andrea C.,2025-05-14,Cerrado,5.55,0.28,Alimentos
Andrés Díaz,Huevos 12u,2.43,2,Sincelejo,Andrea C.,2025-04-16,Cerrado,4.86,0.24,Abarrotes
Andrés Díaz,Arroz 1kg,4.51,13,Pereira,Natalia M.,2025-03-05,Pendiente,58.63,2.93,Limpieza
Juan Gómez,Azúcar 1kg,2.58,15,Cali,Luis P.,2024-12-10,Cerrado,38.7,1.94,Carnes
Valentina Silva,Aceite 1L,8.51,1,Neiva,Camila R.,2024-11-06,Cerrado,8.51,0.43,Bebidas
Valentina Silva,Aceite 1L,7.85,4,Cali,Juan L.,2025-04-04,Cerrado,31.4,1.57,Congelados
Marta Aguilar,Detergente 1kg,5.15,47,Pereira,Luis P.,2024-11-05,Cerrado,242.05,12.1,Bebidas no alcohólicas
Felipe Rojas,Atún 170g,2.3,7,Medellín,Daniela F.,2025-09-15,Cerrado,16.1,0.81,Carnes
Ricardo Castro,Huevos 12u,2.72,3,Bogotá,Santiago Q.,2024-10-19,Cerrado,8.16,0.41,Abarrotes
Luisa Fernández,Pasta 500g,1.93,1,Neiva,Juan L.,2025-07-26,Cerrado,1.93,0.1,Congelados
María Rodríguez,Salsa de tomate 400g,2.03,5,Cali,Camila R.,2025-04-15,Pendiente,10.15,0.51,Carnes
Sofía López,Pan 500g,1.4,3,Neiva,Camila R.,2025-06-13,Cerrado,4.2,0.21,Congelados
Diego Ramírez,Detergente 1kg,5.23,3,Bucaramanga,Diego S.,2025-01-22,Pendiente,15.69,0.78,Snacks
Carlos Pérez,Salsa de tomate 400g,1.47,13,Santa Marta,Daniela F.,2025-09-24,Cerrado,19.11,0.96,Congelados
Patricia Morales,Mantequilla 200g,4.3,1,Montería,Camila R.,2025-04-10,Cerrado,4.3,0.22,Congelados
Carlos Pérez,Aceite 1L,6.96,1,Medellín,Daniela F.,2025-05-23,Cerrado,6.96,0.35,Panadería
Laura Mendoza,Azúcar 1kg,3.21,5,Ibagué,Camila R.,2025-06-26,Cerrado,16.05,0.8,Congelados
María Rodríguez,Café 250g,6.15,1,Barranquilla,Carlos T.,2025-07-06,Cerrado,6.15,0.31,Carnes
Diego Ramírez,Tomate enlatado 400g,1.41,5,Montería,Carlos T.,2024-11-24,Cerrado,7.05,0.35,Congelados
Óscar Herrera,Atún 170g,2.21,5,Manizales,Natalia M.,2024-12-29,Cerrado,11.05,0.55,Bebidas no alcohólicas
Ricardo Castro,Cereal 300g,3.61,1,Cúcuta,María V.,2025-05-30,Cerrado,3.61,0.18,Bebidas
Ana García,Pan 500g,1.06,3,Sincelejo,Luis P.,2025-04-08,Cerrado,3.18,0.16,Carnes
Juan Gómez,Atún 170g,1.83,5,Ibagué,Daniela F.,2025-03-01,Cerrado,9.15,0.46,Limpieza
Jorge Martínez,Tomate enlatado 400g,1.51,15,Manizales,María V.,2025-08-22,Cerrado,22.65,1.13,Snacks
Isabella Ortiz,Jabón 500g,2.96,15,Montería,Camila R.,2025-02-13,Cerrado,44.4,2.22,Carnes
Cecilia Torres,Yogur 120g,0.95,1,Cali,Juan L.,2025-01-01,Cerrado,0.95,0.05,Alimentos
Ana García,Salsa de tomate 400g,2.15,12,Villavicencio,María V.,2024-11-08,Cerrado,25.8,1.29,Alimentos
Jorge Martínez,Leche 1L,3.34,5,Sincelejo,Diego S.,2025-04-21,Cerrado,16.7,0.84,Alimentos
Patricia Morales,Pasta 500g,2.01,5,Montería,Juan L.,2025-03-20,Cerrado,10.05,0.5,Alimentos
Juan Gómez,Café 250g,6.9,9,Villavicencio,Camila R.,2025-01-18,Cerrado,62.1,3.11,Bebidas
Luisa Fernández,Galletas 200g,2.25,1,Sincelejo,Camila R.,2024-12-12,Cerrado,2.25,0.11,Lácteos
María Rodríguez,Cereal 300g,3.89,1,Pereira,Natalia M.,2025-04-28,Cerrado,3.89,0.19,Panadería
Felipe Rojas,Café 250g,5.03,2,Bogotá,Daniela F.,2024-11-24,Cerrado,10.06,0.5,Carnes
Héctor Suarez,Jabón 500g,2.35,8,Cali,Luis P.,2025-01-13,Cerrado,18.8,0.94,Lácteos
Ana García,Café 250g,6.84,2,Barranquilla,Daniela F.,2025-07-12,Cerrado,13.68,0.68,Panadería
Valentina Silva,Detergente 1kg,6.27,3,Santa Marta,Luis P.,2024-10-10,Cerrado,18.81,0.94,Snacks
Gabriel Navarro,Mantequilla 200g,3.35,5,Bogotá,Luis P.,2025-08-31,Cerrado,16.75,0.84,Carnes
Marta Aguilar,Azúcar 1kg,2.7,3,Pereira,Santiago Q.,2025-03-26,Cerrado,8.1,0.4,Panadería
Juan Gómez,Jabón 500g,2.13,13,Cali,Diego S.,2025-08-29,Pendiente,27.69,1.38,Bebidas
Óscar Herrera,Azúcar 1kg,3.74,3,Montería,Carlos T.,2025-04-13,Pendiente,11.22,0.56,Alimentos
Valentina Silva,Detergente 1kg,6.95,41,Barranquilla,Natalia M.,2025-04-29,Cerrado,284.95,14.25,Panadería
Carlos Pérez,Aceite 1L,8.11,5,Medellín,Diego S.,2025-04-21,Pendiente,40.55,2.03,Lácteos
Cecilia Torres,Tomate enlatado 400g,1.24,1,Santa Marta,Luis P.,2025-03-20,Cerrado,1.24,0.06,Snacks
Andrés Díaz,Pollo 1kg,6.28,4,Medellín,Camila R.,2025-04-18,Cerrado,25.12,1.26,Limpieza
Luisa Fernández,Pollo 1kg,6.39,13,Barranquilla,Camila R.,2024-09-27,Cerrado,83.07,4.15,Lácteos
María Rodríguez,Salsa de tomate 400g,1.87,4,Pereira,María V.,2024-10-01,Cerrado,7.48,0.37,Limpieza
Cecilia Torres,Pollo 1kg,6.32,10,Barranquilla,Santiago Q.,2025-06-09,Cerrado,63.2,3.16,Limpieza
Valentina Silva,Harina 1kg,2.98,2,Manizales,María V.,2025-04-15,Pendiente,5.96,0.3,Abarrotes
Andrés Díaz,Pollo 1kg,6.8,5,Bucaramanga,Natalia M.,2024-11-13,Cerrado,34.0,1.7,Snacks
María Rodríguez,Cereal 300g,4.34,50,Cúcuta,Diego S.,2024-10-10,Pendiente,217.0,10.85,Lácteos
María Rodríguez,Yogur 120g,0.79,1,Cúcuta,Camila R.,2025-03-10,Cerrado,0.79,0.04,Lácteos
María Rodríguez,Harina 1kg,2.91,2,Villavicencio,Daniela F.,2024-12-05,Cerrado,5.82,0.29,Panadería
Ana García,Mantequilla 200g,4.15,10,Neiva,Andrea C.,2025-07-27,Cerrado,41.5,2.08,Congelados
Marta Aguilar,Cereal 300g,3.79,13,Barranquilla,Carlos T.,2024-12-17,Pendiente,49.27,2.46,Limpieza
Gabriel Navarro,Aceite 1L,9.0,3,Montería,Santiago Q.,2024-10-23,Pendiente,27.0,1.35,Limpieza
Patricia Morales,Mantequilla 200g,3.78,14,Medellín,Andrea C.,2024-12-24,Pendiente,52.92,2.65,Lácteos
Valentina Silva,Pan 500g,1.11,5,Sincelejo,Carlos T.,2025-05-20,Cerrado,5.55,0.28,Lácteos
Andrés Díaz,Cereal 300g,4.46,2,Bogotá,Daniela F.,2025-02-04,Cerrado,8.92,0.45,Carnes
Juan Gómez,Azúcar 1kg,3.05,2,Sincelejo,Andrea C.,2025-01-22,Cerrado,6.1,0.3,Abarrotes
María Rodríguez,Cereal 300g,4.39,1,Pereira,Carlos T.,2025-06-09,Cancelado,4.39,0.22,Alimentos
Patricia Morales,Leche 1L,2.37,5,Manizales,Luis P.,2025-06-05,Cerrado,11.85,0.59,Bebidas
Sofía López,Tomate enlatado 400g,1.65,2,Cartagena,María V.,2025-09-09,Cancelado,3.3,0.16,Abarrotes
Diego Ramírez,Detergente 1kg,5.01,1,Sincelejo,Daniela F.,2024-11-20,Cancelado,5.01,0.25,Carnes
Óscar Herrera,Detergente 1kg,6.67,1,Medellín,Carlos T.,2025-05-22,Cerrado,6.67,0.33,Bebidas
Óscar Herrera,Arroz 1kg,3.64,4,Montería,Natalia M.,2025-08-30,Cerrado,14.56,0.73,Panadería
Ricardo Castro,Arroz 1kg,4.48,12,Cartagena,Camila R.,2025-07-14,Cerrado,53.76,2.69,Panadería
Juan Gómez,Pasta 500g,2.09,3,Manizales,Santiago Q.,2025-09-11,Cerrado,6.27,0.31,Congelados
María Rodríguez,Huevos 12u,2.51,14,Pereira,Carlos T.,2025-01-14,Cerrado,35.14,1.76,Abarrotes
Laura Mendoza,Salsa de tomate 400g,1.82,21,Ibagué,Natalia M.,2025-05-13,Cerrado,38.22,1.91,Panadería
Cecilia Torres,Jabón 500g,2.7,3,Cúcuta,María V.,2024-11-22,Cerrado,8.1,0.4,Snacks
Patricia Morales,Cereal 300g,3.44,5,Pereira,María V.,2025-08-17,Cerrado,17.2,0.86,Congelados
Jorge Martínez,Pollo 1kg,8.95,8,Pereira,Santiago Q.,2025-03-08,Pendiente,71.6,3.58,Congelados
Ricardo Castro,Pollo 1kg,7.7,3,Neiva,Carlos T.,2024-11-04,Cerrado,23.1,1.16,Bebidas
Valentina Silva,Pasta 500g,1.65,39,Bucaramanga,Andrea C.,2024-11-30,Cerrado,64.35,3.22,Alimentos
Gabriel Navarro,Arroz 1kg,3.51,14,Barranquilla,Daniela F.,2025-03-29,Cerrado,49.14,2.46,Alimentos
Marta Aguilar,Salsa de tomate 400g,1.51,11,Bucaramanga,Carlos T.,2024-11-05,Cerrado,16.61,0.83,Alimentos
Gabriel Navarro,Tomate enlatado 400g,1.64,7,Cúcuta,Juan L.,2025-09-19,Cerrado,11.48,0.57,Alimentos
Juan Gómez,Salsa de tomate 400g,2.11,1,Cúcuta,Luis P.,2024-10-23,Cerrado,2.11,0.11,Abarrotes
Felipe Rojas,Detergente 1kg,6.14,7,Cúcuta,Carlos T.,2025-04-01,Cerrado,42.98,2.15,Bebidas no alcohólicas
Jorge Martínez,Galletas 200g,2.08,1,Villavicencio,Camila R.,2024-09-29,Cerrado,2.08,0.1,Bebidas
Andrés Díaz,Mantequilla 200g,3.98,1,Cúcuta,Luis P.,2025-07-28,Cerrado,3.98,0.2,Bebidas
Ana García,Tomate enlatado 400g,1.23,6,Cali,María V.,2025-05-12,Cerrado,7.38,0.37,Snacks
Héctor Suarez,Jabón 500g,2.65,3,Villavicencio,Santiago Q.,2024-11-06,Cerrado,7.95,0.4,Congelados
Andrés Díaz,Pan 500g,1.17,3,Neiva,Camila R.,2025-05-18,Cerrado,3.51,0.18,Limpieza
Jorge Martínez,Salsa de tomate 400g,2.13,5,Bogotá,Diego S.,2025-02-13,Cerrado,10.65,0.53,Carnes
Jorge Martínez,Detergente 1kg,5.54,8,Ibagué,Diego S.,2025-08-04,Cerrado,44.32,2.22,Panadería
Cecilia Torres,Salsa de tomate 400g,1.48,40,Manizales,Camila R.,2024-11-01,Cerrado,59.2,2.96,Bebidas no alcohólicas
Isabella Ortiz,Mantequilla 200g,4.11,4,Neiva,Luis P.,2025-07-15,Cerrado,16.44,0.82,Lácteos
Héctor Suarez,Mantequilla 200g,3.73,1,Medellín,Juan L.,2025-05-20,Cerrado,3.73,0.19,Bebidas no alcohólicas
Isabella Ortiz,Salsa de tomate 400g,1.97,3,Ibagué,Daniela F.,2024-10-10,Cerrado,5.91,0.3,Lácteos
Juan Gómez,Café 250g,6.7,7,Cartagena,Daniela F.,2025-05-15,Cancelado,46.9,2.35,Lácteos
Carlos Pérez,Atún 170g,2.51,5,Manizales,Camila R.,2025-08-31,Pendiente,12.55,0.63,Carnes
Luisa Fernández,Azúcar 1kg,3.13,3,Bucaramanga,Andrea C.,2025-01-18,Cerrado,9.39,0.47,Snacks
Héctor Suarez,Tomate enlatado 400g,1.64,12,Manizales,Daniela F.,2024-12-06,Cerrado,19.68,0.98,Bebidas no alcohólicas
Ana García,Harina 1kg,2.94,2,Villavicencio,María V.,2024-10-20,Cerrado,5.88,0.29,Bebidas
Cecilia Torres,Leche 1L,2.62,5,Bogotá,María V.,2025-02-07,Cerrado,13.1,0.66,Carnes
Juan Gómez,Azúcar 1kg,2.96,1,Bogotá,Juan L.,2025-08-25,Cancelado,2.96,0.15,Alimentos
Juan Gómez,Yogur 120g,0.84,3,Bucaramanga,Juan L.,2025-07-20,Cerrado,2.52,0.13,Limpieza
Laura Mendoza,Mantequilla 200g,2.89,7,Pereira,Diego S.,2025-06-28,Cerrado,20.23,1.01,Congelados
Sofía López,Huevos 12u,2.5,1,Cúcuta,Daniela F.,2024-12-23,Cerrado,2.5,0.12,Bebidas no alcohólicas
Sofía López,Mantequilla 200g,4.18,43,Sincelejo,Daniela F.,2024-12-21,Cerrado,179.74,8.99,Congelados
Valentina Silva,Arroz 1kg,4.76,1,Bucaramanga,Camila R.,2025-06-30,Cerrado,4.76,0.24,Lácteos
Isabella Ortiz,Yogur 120g,0.83,1,Neiva,Luis P.,2025-01-28,Cerrado,0.83,0.04,Bebidas
Héctor Suarez,Jabón 500g,2.74,13,Bogotá,Santiago Q.,2025-03-25,Cerrado,35.62,1.78,Abarrotes
Carlos Pérez,Leche 1L,3.13,4,Cali,Camila R.,2025-07-23,Cerrado,12.52,0.63,Abarrotes
Cecilia Torres,Huevos 12u,2.68,8,Bogotá,Daniela F.,2025-02-24,Cerrado,21.44,1.07,Abarrotes
Óscar Herrera,Harina 1kg,3.09,2,Neiva,Santiago Q.,2025-07-26,Cerrado,6.18,0.31,Snacks
Luisa Fernández,Pasta 500g,2.0,1,Ibagué,Juan L.,2025-07-22,Cerrado,2.0,0.1,Alimentos
Sofía López,Pan 500g,1.07,15,Montería,Andrea C.,2025-06-06,Cerrado,16.05,0.8,Alimentos
Ana García,Tomate enlatado 400g,1.7,4,Sincelejo,Juan L.,2024-12-02,Cerrado,6.8,0.34,Snacks
María Rodríguez,Cereal 300g,3.48,1,Bogotá,María V.,2025-07-26,Cerrado,3.48,0.17,Panadería
Héctor Suarez,Aceite 1L,6.72,42,Cali,Natalia M.,2025-02-09,Cancelado,282.24,14.11,Abarrotes
María Rodríguez,Queso 250g,4.53,5,Montería,María V.,2025-07-26,Cerrado,22.65,1.13,Panadería
Jorge Martínez,Mantequilla 200g,4.03,4,Villavicencio,Santiago Q.,2024-09-25,Cerrado,16.12,0.81,Abarrotes
Ana García,Yogur 120g,0.69,38,Cúcuta,Luis P.,2025-02-17,Cerrado,26.22,1.31,Panadería
Laura Mendoza,Café 250g,6.22,1,Pereira,Andrea C.,2024-10-08,Cerrado,6.22,0.31,Abarrotes
Cecilia Torres,Aceite 1L,9.03,1,Barranquilla,Juan L.,2025-06-15,Cerrado,9.03,0.45,Bebidas
Luisa Fernández,Leche 1L,2.91,2,Medellín,Carlos T.,2025-01-12,Cerrado,5.82,0.29,Lácteos
Sofía López,Azúcar 1kg,2.98,13,Santa Marta,Juan L.,2025-03-19,Cerrado,38.74,1.94,Bebidas
Isabella Ortiz,Azúcar 1kg,2.85,4,Montería,Daniela F.,2025-04-12,Cancelado,11.4,0.57,Snacks
Valentina Silva,Harina 1kg,3.32,5,Barranquilla,Daniela F.,2025-08-05,Cerrado,16.6,0.83,Lácteos
Sofía López,Detergente 1kg,5.89,7,Cúcuta,Camila R.,2025-06-24,Cerrado,41.23,2.06,Snacks
Carlos Pérez,Atún 170g,2.25,5,Pereira,Juan L.,2024-11-02,Cerrado,11.25,0.56,Limpieza
Óscar Herrera,Pan 500g,1.08,7,Neiva,Daniela F.,2025-06-05,Cerrado,7.56,0.38,Lácteos
Ana García,Pollo 1kg,7.52,4,Neiva,Luis P.,2025-09-23,Cerrado,30.08,1.5,Panadería
Carlos Pérez,Huevos 12u,2.24,5,Cartagena,Daniela F.,2024-11-28,Pendiente,11.2,0.56,Alimentos
Sofía López,Atún 170g,2.61,11,Ibagué,Camila R.,2024-10-22,Cerrado,28.71,1.44,Snacks
Andrés Díaz,Tomate enlatado 400g,1.21,4,Pereira,Luis P.,2025-06-03,Cerrado,4.84,0.24,Carnes
Isabella Ortiz,Tomate enlatado 400g,1.47,3,Cartagena,Diego S.,2025-06-05,Cerrado,4.41,0.22,Carnes
Luisa Fernández,Huevos 12u,2.74,18,Montería,Natalia M.,2024-11-08,Cerrado,49.32,2.47,Carnes
Luisa Fernández,Queso 250g,5.03,2,Cali,Luis P.,2025-06-30,Cerrado,10.06,0.5,Congelados
Luisa Fernández,Aceite 1L,6.48,15,Manizales,María V.,2025-07-06,Pendiente,97.2,4.86,Snacks
Sofía López,Detergente 1kg,5.57,12,Cúcuta,Natalia M.,2024-12-27,Cerrado,66.84,3.34,Abarrotes
Andrés Díaz,Mantequilla 200g,4.06,3,Santa Marta,Daniela F.,2024-10-21,Cerrado,12.18,0.61,Alimentos
Isabella Ortiz,Azúcar 1kg,3.83,4,Sincelejo,María V.,2024-12-21,Pendiente,15.32,0.77,Bebidas
Isabella Ortiz,Salsa de tomate 400g,2.04,2,Manizales,Juan L.,2025-05-23,Pendiente,4.08,0.2,Lácteos
Laura Mendoza,Harina 1kg,3.5,7,Neiva,Juan L.,2025-03-30,Cerrado,24.5,1.23,Snacks
Luisa Fernández,Harina 1kg,3.58,3,Neiva,Andrea C.,2025-01-07,Cerrado,10.74,0.54,Bebidas
Gabriel Navarro,Cereal 300g,4.7,2,Ibagué,Diego S.,2025-02-01,Cerrado,9.4,0.47,Lácteos
Sofía López,Detergente 1kg,5.66,1,Cartagena,Andrea C.,2025-09-11,Cerrado,5.66,0.28,Snacks
Gabriel Navarro,Pasta 500g,1.89,2,Pereira,Andrea C.,2025-06-20,Cerrado,3.78,0.19,Abarrotes
Felipe Rojas,Cereal 300g,4.36,35,Ibagué,Daniela F.,2025-06-04,Cerrado,152.6,7.63,Carnes
Carlos Pérez,Queso 250g,4.24,2,Bucaramanga,Andrea C.,2024-12-10,Pendiente,8.48,0.42,Bebidas
Diego Ramírez,Azúcar 1kg,3.49,2,Santa Marta,Carlos T.,2025-04-21,Cerrado,6.98,0.35,Snacks
Patricia Morales,Salsa de tomate 400g,1.93,2,Ibagué,Juan L.,2025-04-29,Cerrado,3.86,0.19,Carnes
Sofía López,Cereal 300g,4.16,3,Cali,Santiago Q.,2024-10-12,Cerrado,12.48,0.62,Limpieza
Luisa Fernández,Harina 1kg,4.07,10,Santa Marta,Andrea C.,2025-02-10,Cerrado,40.7,2.04,Bebidas no alcohólicas
Patricia Morales,Jabón 500g,2.3,4,Cartagena,Natalia M.,2025-07-09,Cerrado,9.2,0.46,Lácteos
Carlos Pérez,Azúcar 1kg,3.23,5,Sincelejo,Camila R.,2025-05-04,Pendiente,16.15,0.81,Limpieza
Isabella Ortiz,Azúcar 1kg,2.58,1,Barranquilla,María V.,2025-07-03,Cerrado,2.58,0.13,Congelados
Ana García,Cereal 300g,3.46,3,Medellín,Carlos T.,2025-04-30,Cerrado,10.38,0.52,Carnes
Gabriel Navarro,Galletas 200g,2.27,49,Villavicencio,María V.,2024-09-29,Cancelado,111.23,5.56,Abarrotes
Ana García,Aceite 1L,9.12,1,Sincelejo,Santiago Q.,2024-11-12,Cerrado,9.12,0.46,Panadería
Óscar Herrera,Leche 1L,3.19,1,Sincelejo,Natalia M.,2025-05-02,Cerrado,3.19,0.16,Alimentos
Carlos Pérez,Pollo 1kg,8.48,3,Ibagué,Diego S.,2025-08-09,Cerrado,25.44,1.27,Bebidas
Gabriel Navarro,Arroz 1kg,3.84,3,Villavicencio,Carlos T.,2024-11-05,Pendiente,11.52,0.58,Panadería
Ana García,Mantequilla 200g,3.32,5,Cartagena,Daniela F.,2024-10-01,Cerrado,16.6,0.83,Panadería
Patricia Morales,Leche 1L,2.65,5,Bogotá,Daniela F.,2025-01-12,Cerrado,13.25,0.66,Lácteos
Cecilia Torres,Galletas 200g,2.15,4,Santa Marta,Luis P.,2025-01-16,Cerrado,8.6,0.43,Lácteos
Óscar Herrera,Huevos 12u,2.24,1,Barranquilla,María V.,2024-10-26,Cerrado,2.24,0.11,Panadería
Carlos Pérez,Pollo 1kg,6.5,10,Villavicencio,Santiago Q.,2025-08-02,Cerrado,65.0,3.25,Alimentos
Juan Gómez,Leche 1L,2.65,2,Montería,Andrea C.,2025-08-01,Pendiente,5.3,0.26,Bebidas
Valentina Silva,Pollo 1kg,7.56,3,Santa Marta,Andrea C.,2025-03-21,Cerrado,22.68,1.13,Alimentos
Marta Aguilar,Detergente 1kg,4.97,1,Santa Marta,Carlos T.,2025-08-14,Cerrado,4.97,0.25,Congelados
Patricia Morales,Pasta 500g,1.81,13,Cartagena,Carlos T.,2025-07-14,Cancelado,23.53,1.18,Abarrotes
Sofía López,Cereal 300g,3.4,5,Sincelejo,Juan L.,2025-07-30,Cerrado,17.0,0.85,Lácteos
Luisa Fernández,Mantequilla 200g,3.77,5,Sincelejo,Juan L.,2025-01-07,Cerrado,18.85,0.94,Congelados
Óscar Herrera,Tomate enlatado 400g,1.2,4,Cali,Santiago Q.,2025-09-24,Cancelado,4.8,0.24,Alimentos
Valentina Silva,Tomate enlatado 400g,1.79,2,Villavicencio,Santiago Q.,2025-05-24,Pendiente,3.58,0.18,Abarrotes
Óscar Herrera,Jabón 500g,2.91,4,Cúcuta,María V.,2025-06-25,Cerrado,11.64,0.58,Carnes
Diego Ramírez,Yogur 120g,0.81,3,Medellín,Andrea C.,2024-11-10,Cerrado,2.43,0.12,Bebidas no alcohólicas
Ricardo Castro,Tomate enlatado 400g,1.47,4,Ibagué,Natalia M.,2025-04-11,Cerrado,5.88,0.29,Panadería
Andrés Díaz,Azúcar 1kg,3.74,5,Medellín,Santiago Q.,2025-07-14,Cerrado,18.7,0.94,Bebidas
Laura Mendoza,Queso 250g,4.06,1,Bucaramanga,Santiago Q.,2025-04-27,Cerrado,4.06,0.2,Limpieza
Gabriel Navarro,Pan 500g,1.21,1,Cartagena,Camila R.,2025-07-10,Pendiente,1.21,0.06,Panadería
María Rodríguez,Detergente 1kg,6.12,3,Neiva,Luis P.,2025-05-26,Cerrado,18.36,0.92,Bebidas no alcohólicas
María Rodríguez,Café 250g,5.7,3,Sincelejo,Luis P.,2025-07-02,Cerrado,17.1,0.86,Lácteos
Óscar Herrera,Salsa de tomate 400g,2.1,3,Sincelejo,Camila R.,2025-07-09,Cancelado,6.3,0.32,Bebidas
Patricia Morales,Cereal 300g,4.22,11,Neiva,Natalia M.,2024-12-12,Cerrado,46.42,2.32,Alimentos
Juan Gómez,Café 250g,5.4,3,Cali,María V.,2024-09-26,Cerrado,16.2,0.81,Snacks
Diego Ramírez,Salsa de tomate 400g,2.09,4,Santa Marta,Diego S.,2025-09-20,Cerrado,8.36,0.42,Limpieza
María Rodríguez,Yogur 120g,0.68,1,Cartagena,Andrea C.,2024-12-25,Cerrado,0.68,0.03,Congelados
Andrés Díaz,Mantequilla 200g,3.81,4,Ibagué,Carlos T.,2024-11-05,Cerrado,15.24,0.76,Limpieza
Carlos Pérez,Jabón 500g,2.17,5,Santa Marta,Natalia M.,2024-10-06,Cerrado,10.85,0.54,Panadería
Isabella Ortiz,Pan 500g,1.3,13,Cali,Juan L.,2025-02-28,Cerrado,16.9,0.84,Panadería
Ana García,Leche 1L,2.91,7,Cúcuta,Luis P.,2025-02-28,Cancelado,20.37,1.02,Abarrotes
Valentina Silva,Atún 170g,2.58,5,Montería,Daniela F.,2025-05-06,Cerrado,12.9,0.64,Congelados
Diego Ramírez,Cereal 300g,3.36,1,Villavicencio,Natalia M.,2025-02-02,Pendiente,3.36,0.17,Bebidas no alcohólicas
Isabella Ortiz,Cereal 300g,3.87,14,Manizales,María V.,2024-11-20,Cerrado,54.18,2.71,Bebidas no alcohólicas
María Rodríguez,Mantequilla 200g,4.0,7,Santa Marta,Diego S.,2024-12-05,Cerrado,28.0,1.4,Bebidas no alcohólicas
Ricardo Castro,Cereal 300g,3.93,2,Medellín,Juan L.,2025-04-19,Cerrado,7.86,0.39,Alimentos
Isabella Ortiz,Huevos 12u,2.84,10,Cúcuta,Carlos T.,2025-01-28,Cerrado,28.4,1.42,Congelados
Carlos Pérez,Huevos 12u,2.08,3,Cartagena,Santiago Q.,2025-03-26,Cerrado,6.24,0.31,Alimentos
Andrés Díaz,Pan 500g,1.19,3,Bucaramanga,María V.,2025-02-09,Cerrado,3.57,0.18,Carnes
Juan Gómez,Azúcar 1kg,3.02,2,Medellín,Natalia M.,2025-02-02,Cerrado,6.04,0.3,Bebidas
Marta Aguilar,Pan 500g,0.98,39,Sincelejo,Natalia M.,2025-01-27,Cerrado,38.22,1.91,Snacks
